assetKey,sourceAssetKind,role,ownerKind,ownerMigrationKey,ownerTitle,ownerYear,ownerCategory,historicalDisposition,normalizedDisposition,targetBucket,targetStoragePathRedacted,targetDatabaseReferenceKind,targetDatabaseReferenceKey,sourceSha256,sourceFilename,sourceMimeType,sourceSizeBytes,privacyStatus,reviewStatus,evidenceFiles,notes,reviewDecision,ownerComment,verifiedAt,verifiedBy
"source-only:wix:asset-source:6fbde1aae894b8b13304fd39e42a8b8345cb7d4c3864d8fb5c2a64570ac2a5fa","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","6fbde1aae894b8b13304fd39e42a8b8345cb7d4c3864d8fb5c2a64570ac2a5fa","source-6fbde1aae894.jpg","image/jpeg","381487","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:8bb3fbec02a135cafe5d2aed41c86c86e2bb3db07a4dee9a99c015e50b3f3290","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","8bb3fbec02a135cafe5d2aed41c86c86e2bb3db07a4dee9a99c015e50b3f3290","source-8bb3fbec02a1.jpg","image/jpeg","1124483","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:905208c5920fe053ac436c8c460bd38838c1909e0d8cb25b4233f96cda6f5cf8","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","905208c5920fe053ac436c8c460bd38838c1909e0d8cb25b4233f96cda6f5cf8","source-905208c5920f.jpg","image/jpeg","2999718","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:a24c32f42657cd51043f5fdce17d56026d1ddf0ff960566c84d762021709ac44","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","a24c32f42657cd51043f5fdce17d56026d1ddf0ff960566c84d762021709ac44","source-a24c32f42657.jpg","image/jpeg","294733","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:ad7c183ac3d0efeeabf119a0218123fbe9bbdb8b34c56265f562d51357f715c1","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","ad7c183ac3d0efeeabf119a0218123fbe9bbdb8b34c56265f562d51357f715c1","source-ad7c183ac3d0.jpg","image/jpeg","1765659","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:ae79fdd206f89ecc1026a4d7bf12f1b83115349cf3090e8fcd4e0fd4c7e5d35e","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","ae79fdd206f89ecc1026a4d7bf12f1b83115349cf3090e8fcd4e0fd4c7e5d35e","source-ae79fdd206f8.jpg","image/jpeg","1441921","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:b0c6f61e65d14e4b4b17c290fabc0b8d4dde5843d9f979fc6a69f7a694e539e5","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","b0c6f61e65d14e4b4b17c290fabc0b8d4dde5843d9f979fc6a69f7a694e539e5","source-b0c6f61e65d1.jpg","image/jpeg","1253218","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:bc7bfb75d01f147d4c44bae52b86ad75a7160a59107ab4fc7bb5b84c23f63a8e","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","bc7bfb75d01f147d4c44bae52b86ad75a7160a59107ab4fc7bb5b84c23f63a8e","source-bc7bfb75d01f.jpg","image/jpeg","705215","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:d38111f9ee0678300a852c5fa2c667eb05cc415faf64a48e483cc86f229c25a4","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","d38111f9ee0678300a852c5fa2c667eb05cc415faf64a48e483cc86f229c25a4","source-d38111f9ee06.jpg","image/jpeg","81741","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:dd971e0880e176decd63c863644689c8af4700d829a5bdeca8d16805cdaa0abf","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","dd971e0880e176decd63c863644689c8af4700d829a5bdeca8d16805cdaa0abf","source-dd971e0880e1.jpg","image/jpeg","709007","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:e800dd9be60e213059252be9add6fc1ecd625769790854fd87fbd912f792c28c","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","e800dd9be60e213059252be9add6fc1ecd625769790854fd87fbd912f792c28c","source-e800dd9be60e.jpg","image/jpeg","513808","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:ee61a50a54ea986e98981fb3d59a918780d653f07966878f7b3e42ec55af99e3","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","ee61a50a54ea986e98981fb3d59a918780d653f07966878f7b3e42ec55af99e3","source-ee61a50a54ea.jpg","image/jpeg","1008217","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:f53d450e17e260a86220c35e7434ebb7e64399a1c254fefe894772bf6690dc53","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","f53d450e17e260a86220c35e7434ebb7e64399a1c254fefe894772bf6690dc53","source-f53d450e17e2.jpg","image/jpeg","120100","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:f6d95ad486802221207cd14fbb414be18df8decdd9337fcc904481a131505a8b","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","f6d95ad486802221207cd14fbb414be18df8decdd9337fcc904481a131505a8b","source-f6d95ad48680.jpg","image/jpeg","2064099","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:f9943ec2fce8b5a7643217f7a2e182e69e4512dea56f88b3e9d2148ab2249de8","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","f9943ec2fce8b5a7643217f7a2e182e69e4512dea56f88b3e9d2148ab2249de8","source-f9943ec2fce8.jpg","image/jpeg","421927","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:f9ad52c1d5a636c929fbd017da3aeb6639c04f59b5389274396c9597008f29f7","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","f9ad52c1d5a636c929fbd017da3aeb6639c04f59b5389274396c9597008f29f7","source-f9ad52c1d5a6.png","image/png","359037","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"source-only:wix:asset-source:fb9f0998f0ed71561785d45d85f929bf84764110e87cf142886dfd6644b9387b","image","unknown","unresolved","","","","","skip","accepted-skip","","","","","fb9f0998f0ed71561785d45d85f929bf84764110e87cf142886dfd6644b9387b","source-fb9f0998f0ed.jpg","image/jpeg","709545","public-source","requires-owner-review","[""migration/phase9/source-inventory.jsonl""]","[""No Phase 9 Storage assignment exists. Historical accepted-skip evidence indicates Wix chrome, background, or decorative use; owner confirmation is deferred to Phase 14."",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:acrjz:44572b4bc21b3551e2c7","document","attachment","activity","wix:activity:acrjz","瑪潮親子慈善園遊會 111","111","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:acrjz","8d8486f7faf473ff6936477b932ddde30b5930fc459963fa36d7ec16c35b5a4d","source-8d8486f7faf4.pdf","application/pdf","72606","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:acrjz:55766c2f80abe7ad0d24","document","attachment","activity","wix:activity:acrjz","瑪潮親子慈善園遊會 111","111","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:acrjz","89f8d2572ca5982f6a5392dc7f0310bcd9681197fbef14dd6ff0c73c1b151c7f","source-89f8d2572ca5.pdf","application/pdf","80469","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:acrjz:f19598606313ea589533","document","attachment","activity","wix:activity:acrjz","瑪潮親子慈善園遊會 111","111","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:acrjz","49f253eb6deeddfdd04deeebe1f48df6c72a629e178a30055fbf4db2a94f7ea9","source-49f253eb6dee.pdf","application/pdf","74069","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ad87y:05e5c48b71a6c9daf791","document","attachment","activity","wix:activity:ad87y","​兒童志工服務與訓練","113","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ad87y","ff5097c9247758204c46bf25c63459da4b55b91c8916f84c68ab8853e41f1092","source-ff5097c92477.pdf","application/pdf","61567","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ad87y:31da97fc3685cc05dc1b","document","attachment","activity","wix:activity:ad87y","​兒童志工服務與訓練","113","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ad87y","9a088705a22ec8ad51b1d998f4b46c1a1a59cc266808ab0a0615512af12f1ad9","source-9a088705a22e.pdf","application/pdf","121850","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ad87y:4cf2151f8b4f7c1a3abf","image","gallery","activity","wix:activity:ad87y","​兒童志工服務與訓練","113","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ad87y","2125706c9fc2191a591a1f7fba4b786e7ead1df1218db1d1e4f13a55101b39c6","source-2125706c9fc2.jpg","image/jpeg","311826","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ad87y:529d219d493ce4d6dc03","document","attachment","activity","wix:activity:ad87y","​兒童志工服務與訓練","113","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ad87y","26d4ea21b60c177ec32d6a364df743d72e3cf25e334d44b7efc5ab550e0bd704","source-26d4ea21b60c.pdf","application/pdf","189127","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ad87y:b637c63f0bb01a795ec4","image","cover","activity","wix:activity:ad87y","​兒童志工服務與訓練","113","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ad87y","cfee84aa282a6a0fe5db2c67b73c119fcf9084a21358278fb086a2f9da7fbcb1","source-cfee84aa282a.jpg","image/jpeg","738504","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ad87y:c1d4a2ea7f96a857a9af","document","attachment","activity","wix:activity:ad87y","​兒童志工服務與訓練","113","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ad87y","327f585a9a4a0d71eb8d620223116887222b544241fa3243d87b4c19fcb2f1d9","source-327f585a9a4a.pdf","application/pdf","195419","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ad87y:c8aa5029c126e7265cff","image","gallery","activity","wix:activity:ad87y","​兒童志工服務與訓練","113","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ad87y","794861db75a7db09938d11704a7a96802d622e8777afaf3dacebb0d1ce5691f2","source-794861db75a7.jpg","image/jpeg","223348","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ay10r:42ea837edd5246b65adf","document","attachment","activity","wix:activity:ay10r","一起溫暖桃園-校內募款","110","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ay10r","5d73a79f934b03fd559fdf222a269863f96ec342eb3600518aaa67c1521c6688","source-5d73a79f934b.pdf","application/pdf","271455","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ay10r:66a8cdce100b751480ba","document","attachment","activity","wix:activity:ay10r","一起溫暖桃園-校內募款","110","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ay10r","1214dfa6a8b5c7a71b60e4508b4250fa81459a64e89c3db7015af53b21855de3","source-1214dfa6a8b5.pdf","application/pdf","216094","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ay10r:6dc681c867ed3d0ccf9d","document","attachment","activity","wix:activity:ay10r","一起溫暖桃園-校內募款","110","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ay10r","099c2dcdf48a8814fa4a11541f7f46e6fc44007125544f54c4a5db6a115153ac","source-099c2dcdf48a.pdf","application/pdf","272295","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ay10r:82a1af59df7d85befb52","document","attachment","activity","wix:activity:ay10r","一起溫暖桃園-校內募款","110","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ay10r","9aa861056d20c69fb4cc4e7a2d3a4da12f31890219bd38781e81fd1bc77595f6","source-9aa861056d20.pdf","application/pdf","76524","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ay10r:86c50d8e9734d3efb3db","document","attachment","activity","wix:activity:ay10r","一起溫暖桃園-校內募款","110","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ay10r","8e1037359438e2a42bebbd9f2cbd9114622e05bb23f423e53cb9b0575b28af7a","source-8e1037359438.pdf","application/pdf","201449","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""Phase 9 warnings: private_draft_attachment_may_contain_personal_data"",""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
"wix:asset:wix:activity:ay10r:9d6f8381a258b9eea82f","image","cover","activity","wix:activity:ay10r","一起溫暖桃園-校內募款","110","","migrate","migrated","activity-assets","activity-assets/<redacted>","activity-assets","wix:activity:ay10r","96b2ba726e635f3d278344ccad927f741091ea90eb0babed2864eb560e994f9f","source-96b2ba726e63.jpg","image/jpeg","396493","private-draft","requires-owner-review","[""migration/phase9/assets-manifest.jsonl"",""migration/phase9/content-manifest.jsonl"",""migration/phase9/manual-review.csv"",""migration/phase9/source-inventory.jsonl""]","[""sourceFilename is deterministically redacted; authoritative filename evidence remains only in the Phase 9 manifest.""]","","","",""
