stableId,domain,sanitizedIdentity,productionEvidenceHash,productionEvidenceReference,reason,proposedClassification,automationConfidence,humanConfirmationRequired,cutoverImpact,auditFingerprint,finalHumanDisposition,reviewer,reviewedAt,humanNotes
"p14-production-only-0dac1a484f8093ea09490a26","editorial-redirect","editorial-redirect:a12efc06a9eac04254d4cc6a","81e67a3d019dd07737eca73e5014ac4e5d6b1b04e3e9464c740e2b57a3731cfd","private:normalized.v1.json#contentRecords/editorial-redirect:a12efc06a9eac04254d4cc6a","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","8fcf09ba8e4c525bb11de14edd586697b88ddb12fb3442334efb936d5e913f3f","","","",""
"p14-production-only-0ec83b8595bc72043ae95ede","editorial-target","editorial-target:a7db3becf3ad6b6bbaf4a8f7","7af09ba978855b1921bf5820768033ec4685e739504455d90669956fe988d0ab","private:normalized.v1.json#contentRecords/editorial-target:a7db3becf3ad6b6bbaf4a8f7","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","a97dd3760bc50e6c9e56f9f5a171cdf88acdc0bd1ee34a9904cf7ffe8fe8ce15","","","",""
"p14-production-only-10dd8bae8245ed70c69789f2","editorial-target","editorial-target:25019d7416c3c8b502294f7b","0062098871c0a401cdac2ce001259628c5ec610853c5fd4dd8c52071ed8e9aac","private:normalized.v1.json#contentRecords/editorial-target:25019d7416c3c8b502294f7b","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","8c89cf51b8cc511c82c17f731d1874ff26062963ec183b0da3e7b59ead7612a3","","","",""
"p14-production-only-1137c4bb030c7e3e37436ad4","editorial-target","editorial-target:031730edb0f299baac6437ab","ca19590d8d0ad14f1e8539b84a635ea5b6b69cdae06578f1de42eada0c33340a","private:normalized.v1.json#contentRecords/editorial-target:031730edb0f299baac6437ab","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","3036b5cbdb9dacd3b98a7692df2a733fac5e72f0e6087a523d9e747503f2f1b1","","","",""
"p14-production-only-11d808acf1a6e398b083d029","editorial-target","editorial-target:c667a726b1c1b4cf45d5bae5","778844981023814daa0a596b2a3b7dc42dfe99183afd7ea840b4c00b3e64faaa","private:normalized.v1.json#contentRecords/editorial-target:c667a726b1c1b4cf45d5bae5","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","cfb17db2bded074a908fa4c107941ffc9049a5bbfc65bfe8730741ee67bd70e1","","","",""
"p14-production-only-199d96c8e4354c2ab5582c5c","editorial-target","editorial-target:8f6230dc781b463342423674","b8957595d351255911b0919dde5590ecb384a54d866e1d9dd5bb06df47365425","private:normalized.v1.json#contentRecords/editorial-target:8f6230dc781b463342423674","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","0ad0e52f880d761403537a65a67d2386a49caed6a3405a2513e8bca1499d0f9c","","","",""
"p14-production-only-19ae3f732ceeb87d15cdf30e","editorial-redirect","editorial-redirect:0d6efee00cbbce5e192a09cc","b4c096c0b17833057ba5f847b53bd1fb462a237592b93f1f2a81e4ab615ad70f","private:normalized.v1.json#contentRecords/editorial-redirect:0d6efee00cbbce5e192a09cc","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","b9124074d8edfedaf347f76c414b59ff1af6fe704dbf842f1ac068b603968b12","","","",""
"p14-production-only-1a41122e2ad4a238e71c4d0a","editorial-redirect","editorial-redirect:d87429434091914a17a8a74c","dcb1ae0131a7d9b36b272f2a9d2372ead5fa2f82d059a03b433da8bbf1a45240","private:normalized.v1.json#contentRecords/editorial-redirect:d87429434091914a17a8a74c","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","984fd09cb23099de256608215f1f8d7f241142ecc885f83f302687e708956e7b","","","",""
"p14-production-only-1c1a3a7a22b4d1be283f12a9","editorial-redirect","editorial-redirect:5d0285972cff6d038169b294","a0b197c9f593ceddd8f9fb90d72cdfa3e5788a7676e4cece5218b2eefdce3d8a","private:normalized.v1.json#contentRecords/editorial-redirect:5d0285972cff6d038169b294","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","aa0bf94c036744b5a7c00c4ce5e96065a8c3380345e0dbee39f270cd80558655","","","",""
"p14-production-only-1ef02d0705e729b2d6cbbadf","editorial-redirect","editorial-redirect:45cd587c42cffa6f411007ec","b8e84a756d23c8d575d44ccf961e95fac705c437c04ecfebdfb980188e2d36b2","private:normalized.v1.json#contentRecords/editorial-redirect:45cd587c42cffa6f411007ec","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","daef81a5821119990b7e0796cf9b6ca2af92cc008f879c7b188c1cf6a11fa595","","","",""
"p14-production-only-21270f63137a1342107e312f","editorial-target","editorial-target:d8e66855a281cd96943705fe","d6066fad06656b0a7e63f6078520fff560798d7c038b226c83ccd7fd1e2b8959","private:normalized.v1.json#contentRecords/editorial-target:d8e66855a281cd96943705fe","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","6718c9c55d353ad4678453edad3652324bef7cd8fab59f4266e408427d2cdeaa","","","",""
"p14-production-only-2132feb89b05e93be1d8f030","site-settings","site-settings:7b90dfaf1b1f9aa2e91ccfad","b832ae96245f96165e9eb7ec652a9c962c6753bfe875a2e08fc6f62971a45783","private:normalized.v1.json#contentRecords/site-settings:7b90dfaf1b1f9aa2e91ccfad","The singleton site-settings record is expected system configuration outside the Phase 13 migration comparison set.","expected_system_record","high","owner-and-admin","configuration-confirmation-required","4109a4f4721822a14c2965413067c841a95b594bfbe054f01b302d73d8f8c059","","","",""
"p14-production-only-22567e6bb3ad4715c97db62a","editorial-redirect","editorial-redirect:4dfb1de5b3a79b33b48dbd12","b5fa757ef96adb62e54ded12830c9efe15522be9812c6730368c688fca45882a","private:normalized.v1.json#contentRecords/editorial-redirect:4dfb1de5b3a79b33b48dbd12","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","fb7a6c4b2a81a6c98592de81ad27e8270ab748f26ad1996f83e23438d7a7efeb","","","",""
"p14-production-only-23cddcffd5c3e8e529b1095e","editorial-target","editorial-target:dcef6469d1180cdc7ae206ff","1ea2ac90144fb91085c16f7ba8a4a1bc81851266b0c906305de02737f4a588b8","private:normalized.v1.json#contentRecords/editorial-target:dcef6469d1180cdc7ae206ff","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","b8667191e0048c5f715a0e527c0a6a8205dcccf95ee3550fc41644d127bd98d1","","","",""
"p14-production-only-2490c3b4e14195ee3d031e64","editorial-target","editorial-target:fe6cb8ead3d8543617ca8984","d42529dc75c085eee1ff130a5bc53b00bfdb7afb2eb5fed0a2fdf48c147b1221","private:normalized.v1.json#contentRecords/editorial-target:fe6cb8ead3d8543617ca8984","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","7ada71e41fbf268ebba4a226b19f4e0ef38ae4b6e3c7ad1f60cbbe55e7e491a4","","","",""
"p14-production-only-25147b3b4f92d813e24a398b","editorial-target","editorial-target:2c7f1facbb5598180aa882b8","0a8b25370673b88b3c67bca1bfbbac548615a851f1106fa8581ea51a167fa3e6","private:normalized.v1.json#contentRecords/editorial-target:2c7f1facbb5598180aa882b8","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","9a9494d1b773a768f42ad74743557f9bab301d44c08046875b15e8bfccc31c88","","","",""
"p14-production-only-287a20f4e1fabe9e3919734e","editorial-target","editorial-target:e1a40ee636c15dab10a71366","d5f8fc4a74ee2cb777b9e234e54147ab8583f6050b26fd21358ae204bc21ed3c","private:normalized.v1.json#contentRecords/editorial-target:e1a40ee636c15dab10a71366","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","b96a48b9cca96dbdb09fbaa1c92f7b30530e352ce02784ac0fa9630e6ff2f7d4","","","",""
"p14-production-only-2b177b7ac8a4ebaf5fcc453a","editorial-redirect","editorial-redirect:287a78c19d796157fcbc6081","ce99cb5b7edd1c35c6bc7f7bff32484f9188375065495b45bfb2dec33ecc76df","private:normalized.v1.json#contentRecords/editorial-redirect:287a78c19d796157fcbc6081","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","de5d69147bc3a3929fc5902a8241d0024df0204c006aa509be46156e7aadec81","","","",""
"p14-production-only-2b2996dbfc794cd05fe0fcde","editorial-redirect","editorial-redirect:e0429e2784b9779e849198ed","7851c960056495ff2bc4226ca53e9bc7b77142d9bea1ce5bf837e16003ae8e5b","private:normalized.v1.json#contentRecords/editorial-redirect:e0429e2784b9779e849198ed","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","1d5ce64602967e3029d7d9878d981896cfe868578b1ea69ee6486d2b8cb5e2f1","","","",""
"p14-production-only-2be3d54bee3dc989ab84f3c4","editorial-target","editorial-target:2fcbc11f726fbe6d279abd1d","13148b11ae0ae618d2af02394918179496dddd45736c1fb3ea234b9e1e7c7ce8","private:normalized.v1.json#contentRecords/editorial-target:2fcbc11f726fbe6d279abd1d","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","cd69ce636c38190930f1684ff43581603c10eb4f5d7ed58a98fcde58de651c86","","","",""
"p14-production-only-2e01bf97360cb0a542388f78","editorial-redirect","editorial-redirect:d23e4379884f87d2ee46c9c5","6a7e0afcdf43c88e5992516099bec276c8211cd5663113da7f384943916a9911","private:normalized.v1.json#contentRecords/editorial-redirect:d23e4379884f87d2ee46c9c5","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","cc6ece3c021ba7b4f81af76b7b23613ffc04f0d66782123f2183d0bbadbb442b","","","",""
"p14-production-only-305555d4ca69bf6b4cbdc820","editorial-redirect","editorial-redirect:c394328aefe3f746fb1266da","ec0cb8666d597e767221b9afcb21465c4f686dbadc4740b6a15f3d8bc97e94c5","private:normalized.v1.json#contentRecords/editorial-redirect:c394328aefe3f746fb1266da","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","6474e550bac8b3f8b70b6ddd00543d21b0b84cf33a8c7a0787ef64bf17ae5d99","","","",""
"p14-production-only-30c69d4377878cd6bfea0e61","editorial-target","editorial-target:e9156d6ec3cfc0498da55cee","c1a2e64eee0ccb58dffa5aa574bc10dec573c9215183005672b11380c93587ce","private:normalized.v1.json#contentRecords/editorial-target:e9156d6ec3cfc0498da55cee","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","46aca94387a1403fc28d332910dcc619bc064800d959030e07e249b1ea9e5f02","","","",""
"p14-production-only-3511d1ee1262523391729caa","editorial-redirect","editorial-redirect:a3a6a19bacd3e640e9383f4a","cfac660b04f65a678160f258aa9d030f932febf63e5f3d0de7cea998ee6fd854","private:normalized.v1.json#contentRecords/editorial-redirect:a3a6a19bacd3e640e9383f4a","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","8481da08f3aad456e32c1cabfde7994277e04a175002ea9a291d811bd3c6592e","","","",""
"p14-production-only-360c798b65c23505eecb2003","editorial-target","editorial-target:26443f8bc3105d1294b35f18","44ddd92598a382610332892093b984ab9331a6503f811fe754b480c86ea89682","private:normalized.v1.json#contentRecords/editorial-target:26443f8bc3105d1294b35f18","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","716bfb5bedf7a77c98130baf286936e6c98c1ce9fb05649672b6af8a730c94cc","","","",""
"p14-production-only-361de50d252ec22a8e3eee3b","editorial-target","editorial-target:353d8bee1a4de0e10876c48c","59c345352c60d8ceee2695ebf4eb0bf8d349c7e830fadbb703d670c7aef35433","private:normalized.v1.json#contentRecords/editorial-target:353d8bee1a4de0e10876c48c","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","80308fbb81c7c6d7a3a0756a56e5deb412c336a3049a883ed6cd41772a0deeb4","","","",""
"p14-production-only-368f3493e7eac37b38e07ad9","editorial-target","editorial-target:3c3e0ba1a4f3689148c85bd3","421bd7cf37516329dc5d9fdf13db4e313392f06197b79363a5b773565c39591b","private:normalized.v1.json#contentRecords/editorial-target:3c3e0ba1a4f3689148c85bd3","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","ee95e54e976569e2e6b9fb47196a6b178d1bd08200aa2bf9bdedab2870ec054f","","","",""
"p14-production-only-38f35b2953d812923764a114","editorial-redirect","editorial-redirect:c532eae04096d76e3b56822e","37320b1a45cf06dd89e9f8f64e6664fad23def8a08a14bb90acf69eccbc7c76e","private:normalized.v1.json#contentRecords/editorial-redirect:c532eae04096d76e3b56822e","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","400cb33e368596d2491405290d9eafdea90626c319c8c7792257929da79254fb","","","",""
"p14-production-only-38fd31a20cf4fcda9d1663e6","editorial-redirect","editorial-redirect:46f6183e5c1d52e956506121","74fb45ec52208898912f96b6954467a85868f949a84760832d4f2798969e7c10","private:normalized.v1.json#contentRecords/editorial-redirect:46f6183e5c1d52e956506121","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","c87e2f2ba74e14364a10de9e3f5b0d7de8727183595f6390bcf9cc4f12ff28e7","","","",""
"p14-production-only-3a2efe7edfb5364427dc7a32","editorial-redirect","editorial-redirect:7278502e0ee890661d8ca964","11363119080203246f9146ebfe6337733129e2e1329edefea10ea73c9b15d243","private:normalized.v1.json#contentRecords/editorial-redirect:7278502e0ee890661d8ca964","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","e261eb8cf253d63dd5888e97e707a148c3f937e51b972886127bef2c7ce591b5","","","",""
"p14-production-only-3c04668335e50d50fb2e09b0","editorial-redirect","editorial-redirect:05d34c03d7739aee79119a9e","7fc7b167ecc0f29b2ddc1e7d273de3aca9a4cf2996b4ebf7dc620c563de59162","private:normalized.v1.json#contentRecords/editorial-redirect:05d34c03d7739aee79119a9e","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","8022da9c4fa98419c5e9ffd94841e7f646f393e96c3a2a2d9d6fcfa1a8605da4","","","",""
"p14-production-only-3f8bb8d73c5e50d4163b689c","editorial-target","editorial-target:649e46917154832f04e2985a","1ec03053c68645b606266c9d76a24a9a0035c48942372853fe1cb6fd0b255aee","private:normalized.v1.json#contentRecords/editorial-target:649e46917154832f04e2985a","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","b19edd115e5bffb5bb0334459ac50c4118f772b24065046a6491517c33b11a6e","","","",""
"p14-production-only-4237dcf675233f65470583b0","editorial-redirect","editorial-redirect:dfe7222774b2391e26d301a4","f1f53d1b4476652d521a30b1e0a738a0cbd854b6eba87b955a6e404c297c6ec6","private:normalized.v1.json#contentRecords/editorial-redirect:dfe7222774b2391e26d301a4","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","2f905997a3612e772a2fb37ca0963720bbde1b23aef36539809abc00df8df72d","","","",""
"p14-production-only-43059465159435446cd8acee","editorial-target","editorial-target:f1dc370ca5c15cbd87913df1","8297956db34879ff16c85408fef81141b577a7a2903685c0b0977e7960c94665","private:normalized.v1.json#contentRecords/editorial-target:f1dc370ca5c15cbd87913df1","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","ea7dd204822749f9c51e3bb28600535a35e3f4732cd64e6490e985f9bb8e64e5","","","",""
"p14-production-only-43463ac1cb99db9535b75ce2","editorial-target","editorial-target:c21f7360aecf540db3243b5b","c6120c7f2188ee13cc6c8d9b34ebfd1923846a2e670207f2622763e0f471e4e1","private:normalized.v1.json#contentRecords/editorial-target:c21f7360aecf540db3243b5b","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","50043499a95bd6c9e3bea07c5cf766d7114706091ef7975cdcfffb98ec6ef053","","","",""
"p14-production-only-45276005935025ae3fd65ed4","editorial-redirect","editorial-redirect:5ba1d2d3bf9b39c68700db56","a1fb9db203e08548d50f29ec0a3a73839dfffb35f9136160c6f251abccfae838","private:normalized.v1.json#contentRecords/editorial-redirect:5ba1d2d3bf9b39c68700db56","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","0ea68cf27410815b83c6f7a90556106ff5bb5530d44139a3807791dc379bab26","","","",""
"p14-production-only-45a037dc6b003bd2de27ae87","editorial-redirect","editorial-redirect:7546f151db41bc003e0fd40f","dcef4b5c353be50f057454002e8f0c98b686ca2028a4b91102d77ea3fa5aac4a","private:normalized.v1.json#contentRecords/editorial-redirect:7546f151db41bc003e0fd40f","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","911e0e6eadf619c661361f10058b108bebfb76f8337c0c58ea6df8019abc21ea","","","",""
"p14-production-only-46c67d4752d51a017782fbe1","editorial-redirect","editorial-redirect:625af292b9944a6a7a6e1d48","9b4e01eff9b4a18eaa5546c2506c2219ec38f24333c68680959cd513daa596a0","private:normalized.v1.json#contentRecords/editorial-redirect:625af292b9944a6a7a6e1d48","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","4c86c06106aac57a9a05906fb3fd87145f0dcbee62b05f371ecfca5abba95c24","","","",""
"p14-production-only-4cb1c00868d09202c52baef3","editorial-target","editorial-target:5eaa71921c1f32012613da67","c9de88e48a871dca4522ebf8bf35ed4b2c6d37e1a91458f72d989420abda3310","private:normalized.v1.json#contentRecords/editorial-target:5eaa71921c1f32012613da67","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","0d9d76b38ac47df0beb8d5cf24a1769e2a9c14864d8241c81e1bdbf4b8cc478a","","","",""
"p14-production-only-50ec44fecfc59e1c42d85a67","editorial-target","editorial-target:2868314fdb85fa0212ca6f5e","d38d3b4ccf63a8a4ff3407d33a4137c12bf835e28265fb468aa9f9cc66b28e95","private:normalized.v1.json#contentRecords/editorial-target:2868314fdb85fa0212ca6f5e","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","7467f9b5352a89a529ee9c1b737db33a34d69f3324e75faf6d9aece9bfb1ff59","","","",""
"p14-production-only-53952e2a47e5df76618c115b","editorial-target","editorial-target:f22a2b0a24738ca638453596","4b84dbc7eabf5c529b16e779ebd3cbc3d0b454f1e7babbc8d941374d0df21423","private:normalized.v1.json#contentRecords/editorial-target:f22a2b0a24738ca638453596","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","16a8425a21d914027f3876ca34057c269e62a6758df04865450921c3b69d4d50","","","",""
"p14-production-only-54d0855bfeaa9f10e09dd951","editorial-target","editorial-target:0b84686f9caba6eff8e54e71","6c43258c50a3e56d4d027468127281649c2ca083793c24cddf30a6308c7db4ff","private:normalized.v1.json#contentRecords/editorial-target:0b84686f9caba6eff8e54e71","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","231af2f56c01da4955feb49f73a39b6e903648ad1ffe2c487c2c00fd23d723f5","","","",""
"p14-production-only-587e9b0907d15a898524f5c5","editorial-target","editorial-target:7d7cb345b4c836911addb1a6","56748200d434a10c43ef2f203baf3b2d453d25b20a53fb2437e9562c41bd854b","private:normalized.v1.json#contentRecords/editorial-target:7d7cb345b4c836911addb1a6","Current editorial control metadata represents a matched imported target but has no separate Phase 13 comparison row.","expected_operational_metadata","high","owner","owner-confirmation-required-before-cutover","7708640eff5527c1dcbc84741d92d03d2b284ce88d8c4a69901d29281be80223","","","",""
"p14-production-only-59a50cdb08790a9cf9b6a635","editorial-redirect","editorial-redirect:ad824421c6a2c56ab5a6ed81","2021417a82632aac58d6455b0250a8ac5545e20dd26608ac4d7786123b803404","private:normalized.v1.json#contentRecords/editorial-redirect:ad824421c6a2c56ab5a6ed81","Current redirect decision metadata is expected system state outside the Phase 13 target/asset comparison set; it is not an active redirect.","expected_system_record","high","owner","redirect-disposition-confirmation-required","b1c8e3c6ac47ba1496966e08790b0209bba1935f3ae107deccfb5556eb4523ba","","","",""
